source,target
2975,6384
2975,2975
2975,530
2975,8349
2975,8351
2975,8354
2975,1107983
2975,52057
2975,110380
2975,18471
2975,74611
2975,1407498
6384,6384
6384,530
6384,1357063
6384,40644
6384,1779512
6384,21127
6384,1692944
6384,64
6384,1776
6384,38803
6384,20215
6384,2130
530,529
530,530
530,532
8349,8349
8349,8351
8349,8354
8349,1278399
8349,1659326
8349,26466
8349,18269
8349,5606
8349,5632
8349,1179102
8349,11367
8349,31028
8349,1397846
8349,2166741
8349,3266
8349,36059
8349,21010
8349,101032
8349,98569
8349,2080584
8349,103835
8349,6717
8349,928944
8349,2022250
8349,9979
8349,514
8349,6193
8349,1892
8349,2641
8349,92029
8349,218506
8349,2098136
8349,2098137
8349,2098138
8351,8351
8351,8354
8354,8354
1107983,1107983
1107983,52057
1107983,110380
1107983,181934
1107983,496175
1107983,1280183
1107983,1006651
1107983,237876
1107983,180659
1107983,1165240
1107983,2787630
1107983,89289
1107983,2102583
1107983,73988
1107983,21111
1107983,2803017
1107983,2803001
1107983,4193575
1107983,4193577
1107983,4193578
1107983,2954
1107983,33663
1107983,2301996
1107983,214317
1107983,13716
1107983,117180
1107983,23626
1107983,937663
1107983,1931175
1107983,12951
1107983,2998183
1107983,1231277
52057,52057
52057,110380
52057,60158
52057,24810
52057,2535
52057,225620
52057,1683093
52057,79538
52057,1562353
52057,1038
52057,4173
52057,349
110380,4587
110380,110380
110380,9780
110380,19011
110380,146687
110380,74266
110380,1507609
110380,1507612
110380,1507613
110380,1122373
110380,1122374
110380,1122375
18471,18471
18471,74611
18471,1407498
18471,1897
18471,77896
18471,2395
18471,1735828
18471,53397
18471,1224841
18471,539
18471,111513
18471,514
18471,6193
18471,1892
74611,74611
74611,1407498
74611,2682390
74611,2227
74611,4430
74611,14837
74611,5823
74611,3141
74611,449538
74611,13309
74611,1661465
1407498,1407498
1407498,2395
1407498,1735828
1407498,53397
1407498,102786
1407498,128550
1407498,2320880
1357063,1357063
1357063,40644
1357063,3894
1357063,1892
1357063,19498
40644,40644
40644,1779512
40644,2710
40644,4587
40644,8691
40644,72129
40644,189111
40644,23964
1779512,1779512
1779512,1357063
21127,21127
21127,1692944
21127,9827
21127,143103
21127,21708
21127,72983
21127,124909
21127,4038
21127,18992
21127,2047
21127,4730
21127,9464
21127,14409
1692944,1692944
64,64
64,1776
64,1415341
64,1267653
64,7467
64,1519399
64,1003
64,524
64,38803
64,3894
64,1810
64,3895
64,958722
64,41381
64,10980
64,10989
64,10990
64,20215
64,2130
64,219479
64,1101349
64,1407495
64,3361135
64,1812
64,2037
64,5081
64,1892
1776,1776
1776,2559324
1776,2559325
1776,27888
1776,2630
