id,name,
2975,Laurence Fishburne,
6384,Keanu Reeves,
530,Carrie-Anne Moss,
8349,Martin Sheen,
8351,Frederic Forrest,
8354,Albert Hall,
1107983,Martin Luther King Jr.,
52057,Obba Babatundé,
110380,Colin Powell,
18471,Anthony Anderson,
74611,Tracee Ellis Ross,
1407498,Marsai Martin,
1357063,Darrin Prescott,
40644,Chad Stahelski,
1779512,Jackson Spidell,
21127,Bobby Cannavale,
1692944,Heidi Schreck,
64,Gary Oldman,
1776,Francis Ford Coppola,
38803,Roman Coppola,
20215,Billy Campbell,
2130,Cary Elwes,
529,Guy Pearce,
532,Joe Pantoliano,
1278399,Joseph Steven,
1659326,Teresa Modnick,
26466,Caroline Kava,
18269,Brendan Fraser,
5606,Sissy Spacek,
5632,Jack Fisk,
1179102,Kathleen Kennedy,
11367,Bradley Whitford,
31028,Richard Schiff,
1397846,Craig Barron,
2166741,Robert A. Baum Jr.,
3266,Joe Mantegna,
36059,Joanna Pacula,
21010,Alexandra Hay,
101032,Rod McCary,
98569,Vincent Van Patten,
2080584,Ben Jorgensen,
103835,Jeff Monahan,
6717,James Marshall,
928944,Coleman Barks,
2022250,Robert Bly,
9979,Peter Coyote,
514,Jack Nicholson,
6193,Leonardo DiCaprio,
1892,Matt Damon,
2641,Martin Landau,
92029,Gabriel Bologna,
218506,Gretchen Becker,
2098136,Brian Becker,
2098137,Richard Becker,
2098138,Blase Bonpane,
181934,Al Sharpton,
496175,Carmelo Anthony,
1280183,Coretta Scott King,
1006651,John Lewis,
237876,Sarah-Jane Sauvegrain,
180659,Rosa Parks,
1165240,Jason Alan Carvell,
2787630,Valentin Zorin,
89289,Jesse Jackson,
2102583,Andrew Cohen,
73988,Lyndon B. Johnson,
21111,John F. Kennedy,
2803017,Arthur John Birch,
2803001,Haroldson Lafayette Hunt,
4193575,Maxime Demigné,
4193577,Gabin Clerc,
4193578,Tom Chabeau,
2954,Jeffrey Wright,
33663,Donald Trump,
2301996,Mike Pence,
214317,Ben Bradlee,
13716,Carl Bernstein,
117180,Tom Brokaw,
23626,Liev Schreiber,
937663,Neil Amdur,
1931175,Bob Beamon,
12951,O.J. Simpson,
2998183,Nicole Brown Simpson,
1231277,Marcia Clark,
60158,Shirley Jones,
24810,Pat Boone,
2535,Vivica A. Fox,
225620,Rudolph Moise,
1683093,Terayle Hill,
79538,Khalil Kain,
1562353,Erica Mena,
1038,Jodie Foster,
4173,Anthony Hopkins,
349,Scott Glenn,
4587,Halle Berry,
9780,Angela Bassett,
19011,George W. Bush,
146687,Tony Blair,
74266,Dick Cheney,
1507609,Bob Coen,
1507612,Francis E. Boyle,
1507613,Jean Patterson,
1122373,Marion Barry Jr.,
1122374,Chuck Brown,
1122375,Lewis Franklin,
1897,Bernie Mac,
77896,Bill Bellamy,
2395,Whoopi Goldberg,
1735828,Halle Bailey,
53397,Christina Aguilera,
1224841,Mo Willems,
539,Thomas Lennon,
111513,Yvette Nicole Brown,
2682390,Gerd Ludwig,
2227,Nicole Kidman,
4430,Sharon Stone,
14837,Carol Burnett,
5823,Julie Andrews,
3141,Marisa Tomei,
449538,Adele,
13309,Oprah Winfrey,
1661465,Lizzo,
102786,Barack Obama,
128550,Desmond Tutu,
2320880,Sundar Pichai,
3894,Christian Bale,
19498,Jon Bernthal,
2710,James Cameron,
8691,Zoe Saldaña,
72129,Jennifer Lawrence,
189111,Suzanne Collins,
23964,Gary Ross,
9827,Rose Byrne,
143103,Krew Boylan,
21708,Tomas Milian,
72983,Manny Pérez,
124909,Danny Hoch,
4038,Susan Sarandon,
18992,Aidan Quinn,
2047,Danny Glover,
4730,Emmy Rossum,
9464,Harry Lennix,
14409,David Schwimmer,
1415341,Kazuhiro Tsuji,
1267653,Chet Zar,
7467,David Fincher,
1519399,Erik Messerschmidt,
1003,Jean Reno,
524,Natalie Portman,
1810,Heath Ledger,
3895,Michael Caine,
958722,Eiko Ishioka,
41381,Sadie Frost,
10980,Daniel Radcliffe,
10989,Rupert Grint,
10990,Emma Watson,
219479,Criss Angel,
1101349,Steve Aoki,
1407495,Miles Brown,
3361135,Peter Kent,
1812,Michelle Williams,
2037,Cillian Murphy,
5081,Emily Blunt,
2559324,Beth Lane,
2559325,Lea Madda,
27888,Raúl Juliá,
2630,Nastassja Kinski,
151007,Peter Ramsey,
1769,Sofia Coppola,
19772,Paul Rassam,
1,George Lucas,
7879,John Lasseter,
1032,Martin Scorsese,
1006721,Charles Scorsese,
11483,Catherine Scorsese,
5953,Spike Jonze,
325,Eminem,
3125,Madonna,
3084,Marlon Brando,
1158,Al Pacino,
3085,James Caan,
3087,Robert Duvall,
3092,Diane Keaton,
117669,Portia Doubleday,
558466,Alex Russell,
61555,Haley Ramm,
10017,Charlton Heston,
5563,James Coburn,
26557,Ferdy Mayne,
18688,Harry Connick Jr.,
8437,Teri Garr,
589,Daryl Hannah,
16431,Sam Elliott,
2203,Neal McDonough,
3026,Rob Reiner,
32,Robin Wright,
12132,Michael Rooker,
932719,Jeff Gordon,
2127,James Wan,
2128,Leigh Whannell,
2675,Darren Lynn Bousman,
46300,Alexander Nathan Etel,
27889,Stephan Elliott,
1331,Hugo Weaving,
326,Kim Basinger,
323,Curtis Hanson,
11099,Dante Spinotti,
7187,Richard Donner,
57371,Jeff Cohen,
3034,Corey Feldman,
147,Michael Madsen,
21200,Will Arnett,
13611,Jack White,
10750,Sheryl Crow,
8261,Willie Nelson,
54693,Emma Stone,
19492,Viola Davis,
6944,Octavia Spencer,
287,Brad Pitt,
192,Morgan Freeman,
12052,Gwyneth Paltrow,
5376,Jean Smart,
5937,Kari Matchett,
26009,Gail O'Grady,
1067583,Suzanne Happ,
10427,Anne Archer,
781,Paul Reiser,
33,Gary Sinise,
5149,Bonnie Hunt,
2144,Tobin Bell,
141,David Carradine,
2505,James Cromwell,
42206,Matt McCoy,
10167,George Lazenby,
1226195,Rob Stewart,
13637,Joan Collins,
5320,Leslie Caron,
1641,Katrin Cartlidge,
10447,Mariel Hemingway,
76184,Bryan Marshall,
75781,John Turner,
39770,Adam Roarke,
34721,Larry Bishop,
83908,Daniel Massey,
1748,William Shatner,
8499,William Windom,
16896,James Garner,
8857,Debbie Reynolds,
15395,Maurice Ronet,
51763,Ross Martin,
955923,Ginny Tyler,
6474,James Le Gros,
69122,Heather Graham,
65344,Esai Morales,
6677,Kyle MacLachlan,
6678,Michael Ontkean,
6714,Mädchen Amick,
56890,Malcolm McDowell,
46393,Roseanne Barr,
9789,Robert Altman,
6449,Warren Beatty,
1353815,Dr. Diane Ravitch,
1353816,Dr. Linda Darling-Hammond,
20212,Dermot Mulroney,
41249,Tess Harper,
1841281,Joey Molland,
1225302,Annie Nightingale,
3546502,Jack Trout,
118764,Paulo Pires,
36281,Imanol Arias,
3199207,Jerry Dealey,
3199208,Barry Ernest,
82128,Wesley Clark,
21818,Lesley Ann Warren,
12967,Swoosie Kurtz,
13567,Ann-Margret,
25834,Leslie Hope,
1204293,J. Allen Hynek,
2027993,Philip J. Klass,
20959,Louis Gossett Jr.,
57829,Anthony LaPaglia,
7447,Alec Baldwin,
9560,Ellen Burstyn,
37421,James Naughton,
9976,Henry Thomas,
69597,Drew Barrymore,
1066777,Mumia Abu-Jamal,
65013,Rubin 'Hurricane' Carter,
4808,Giancarlo Esposito,
2045089,Jeanmarie Simpson,
4687,Patricia Arquette,
2045090,Joyce Julianne Auer,
7071,Louise Fletcher,
518,Danny DeVito,
10409,Shelley Duvall,
7077,Scatman Crothers,
3391,Kathleen Turner,
117075,Henry Jaglom,
34947,Kevin Conroy,
1262612,Neal Adams,
103,Mark Ruffalo,
2282,Ben Kingsley,
24045,Joseph Gordon-Levitt,
3899,Ken Watanabe,
21007,Jonah Hill,
234352,Margot Robbie,
16418,Casey Kasem,
15831,Frank Welker,
134,Jamie Foxx,
27319,Christoph Waltz,
11478,Lorraine Bracco,
380,Robert De Niro,
9261,Frank Abagnale Jr.,
488,Steven Spielberg,
2689,Jeff Nathanson,
31,Tom Hanks,
1206,Jason Alexander,
70851,Jack Black,
2157,Robin Williams,
880,Ben Affleck,
1231844,Manny Ramírez,
1214256,Curt Schilling,
3197,Tom Sizemore,
12833,Edward Burns,
10297,Matthew McConaughey,
1813,Anne Hathaway,
83002,Jessica Chastain,
21037,Prince,
1800494,Cora Coleman-Dunham,
1775343,Josh Dunham,
1205143,John Gazarian,
1205144,Darlene Landau,
2222,Beau Bridges,
18878,Rob Cohen,
9111,Peter Graves,
98234,Barbara Bain,
24589,Paul Mercurio,
24590,Dominique Sanda,
11770,John Carpenter,
515,Glenn Close,
179512,Marv Albert,
1865991,Jim Boeheim,
59785,Fat Joe,
84932,Jay-Z,
16450,Sean Combs,
210695,Jesse Williams,
1258041,David Axelrod,
1236577,Douglas Brinkley,
1374664,Louis-Émile Galey,
1010125,Claude Heymann,
1385039,Bryan Stevenson,
1641150,Patrisse Cullors,
938972,Angela Davis,
2149806,Gus Hall,
100709,Junior Wells,
1386798,Joseph McCarthy,
13348,Howard Hughes,
1247141,Harry S. Truman,
2802990,Jean Paul Getty,
117418,Mahalia Jackson,
1188876,Horace Clarence Boyer,
61399,Mike Ditka,
1232728,Jim McMahon,
1723195,Mike Singletary,
1219050,Hank Aaron,
14414,Kareem Abdul-Jabbar,
65605,Muhammad Ali,
136403,Robert Dryden,
1999091,Chris Schenkel,
1050881,Jacqueline Kennedy,
1152,Oliver Stone,
3331792,Vasili Arkhipov,
120578,Franklin D. Roosevelt,
57738,Samuel Labarthe,
1141815,Charles de Gaulle,
1204877,André Malraux,
1257876,Margaret Whitmer,
1051824,Tom Junod,
1998031,Joanne Rogers,
1116399,Winston Churchill,
18802,Ronald Reagan,
7571,Blair Brown,
84378,Nick Fraser,
1420,Robert Drew,
2102600,Jill Drew,
225009,Pablo Larraín,
6431,Darren Aronofsky,
8289,Billy Crudup,
1670479,Abbas Abdi,
1625013,Mahmoud Ahmadinejad,
84384,Osama Bin Laden,
2214123,Véronique Préault,
2412677,Xavier Pasco,
2412679,John Logsdon,
16811,Alexander Scheer,
3910768,Jürgen Hambrecht,
2823180,Wolfgang Ischinger,
4193580,Tkun,
4193583,Sofiane,
25072,Oscar Isaac,
3910,Frances McDormand,
1241,John Turturro,
1145892,Ed Koch,
1807640,Jane Jacobs,
557911,Robert F. Kennedy Jr.,
11161,Tom Savini,
27765,Richard Nixon,
1167702,Bruno Sammartino,
1167703,Bob Backlund,
2323039,Catherine Mercado-Muñiz,
2339577,Carmen Yulín Cruz,
10127,Jon Voight,
1229169,Roger Ailes,
3553309,John Shipton,
150882,Julian Assange,
16214,Mario Van Peebles,
227811,Herschel Walker,
1222706,Skip Bayless,
1816204,Frederick Oberlander,
1816207,Tevfik Arif,
3342345,Tim Gielen,
1954181,George Soros,
240633,Bill Gates,
80757,Mike Tyson,
1003978,Larry Holmes,
1306642,Kimberly DiPersia,
2289540,Alex R. Wagner,
2662043,Andrew Cuomo,
2266228,Kim Dae-jung,
2435679,Lee Geum-hee,
2266230,Kim Young-sam,
56446,John Cena,
216075,Candice Michelle,
568535,Matthew Kaye,
1326321,Paige,
57342,Vince McMahon,
60342,Emily Maitlis,
2041195,Prince Andrew Duke of York,
2607708,Jeffrey Epstein,
16620,Hulk Hogan,
77120,Steve Austin,
1647876,Hans Henrik Wöhler,
3252749,Michael Fanone,
3370866,Aquilino Gonell,
28151,Benoît Allemane,
2982422,Michael S. Cullen,
3242458,Isabelle Rouge-Ducos,
21397,Dennis Rodman,
3981237,Shirley Rodman,
567335,Chris Benoit,
115788,Paul Michael Lévesque,
112219,Michael Hickenbottom,
25504,André Roussimoff,
160733,Nick Bockwinkel,
2189100,Moon Jae-in,
1671675,Yuna Kim,
1644623,Ahn Jung-hwan,
21278,Alan Alda,
13724,Jane Alexander,
1428889,Ivy Austin,
3323316,Tricia Brooks,
2021450,Vernon Jordan,
3797418,Maria Kirke,
937664,Abraham Beame,
937665,Bob Bright,
1416398,Joshua L. Pearson,
46432,George H.W. Bush,
116341,Bill Clinton,
2652100,Curt Flood,
2652101,Judy Pace Flood,
219189,Jackie Robinson,
214725,Duke Snider,
3905,William H. Macy,
18686,Holly Hunter,
223120,Jack O'Callahan,
223121,Herb Brooks,
223122,Mike Eruzione,
107375,Joe Frazier,
1304153,Imelda Marcos,
587506,Shameik Moore,
543505,Jake Johnson,
130640,Hailee Steinfeld,
2415973,Daniel Petrocelli,
2413592,Fred Goldman,
81439,Vincent Bugliosi,
707,Dan Aykroyd,
26485,Jim Belushi,
54812,Chevy Chase,
5788,James Cagney,
87514,Roger Smith,
2177,Lloyd Bridges,
11140,Lynn Carlin,
22865,Little Richard,
1503749,Big Freedia,
1430,Keith Richards,
562922,Christian Keyes,
21215,Elise Neal,
21563,Corin Nemec,
2939038,Sydney Malakeh,
8689,Barry Shabaka Henley,
2297056,Darik Bernard,
2295,Mickey Rourke,
141823,Tisha Campbell,
1841650,Crystal-Lee Naomi,
1838518,Jermaine Rivers,
58924,Clifton Powell,
21355,DMX,
1922617,Joy Rovaris,
587035,Nadji Jeter,
479206,Demetria McKinney,
154382,Jazsmin Lewis,
31134,Darrin Henson,
74613,Terri J. Vaughn,
2808544,Daran Acevedo,
1297171,Julian Bane,
108081,Malik Barnhardt,
1220781,Shelly Altman,
115002,John Aniston,
1395884,Gessica Généus,
105762,Jimmy Jean-Louis,
1142232,Soledad Elizabeth Jean,
7672,Reginald VelJohnson,
1432244,Lyon Beckwith,
127931,Dorien Wilson,
77353,Jasmine Guy,
233191,Terrence 'T.C.' Carson,
1108907,Nick Robinson,
9278,Jennifer Garner,
19536,Josh Duhamel,
3593345,Chara James,
3593347,Zebulen M.N. Joyner-McCaster,
1214197,Carl Anthony Payne II,
16897,Sidney Poitier,
20493,Sydney Tamiia Poitier,
119598,Phylicia Rashād,
109686,Flex Alexander,
109687,Mike Batayeh,
77072,Tyson Beckford,
1232383,Parker McKenna Posey,
1573627,Torrei Hart,
1437841,AzMarie Livingston,
55637,Brian Hooks,
1100816,René Aranda,
3581413,Dwight Boyce,
60490,Paul Terrell Clayton,
1036,Cybill Shepherd,
5049,John Hurt,
10774,Anne Bancroft,
39187,Olivia Colman,
34546,Mark Gatiss,
54448,Ismail Merchant,
54441,James Ivory,
54443,Ruth Prawer Jhabvala,
4786,Richard Attenborough,
1137,Juliette Binoche,
28974,Damon Lindelof,
15851,Amy Brenneman,
15009,Justin Theroux,
33181,Jimmy Smits,
63611,Nickolas Grace,
53574,Eric Thal,
16217,Lynn Whitfield,
15762,Tara Strong,
1160,Michelle Pfeiffer,
8891,John Travolta,
44038,Nancy Allen,
1121437,Leslie Felperin,
70243,Eartha Kitt,
15973,Julie Newmar,
16108,Lee Meriwether,
44796,Franklyn Ajaye,
35705,Regina Hall,
143242,Terrence Jenkins,
174837,Yolanda Adams,
56323,Tina Fey,
78577,Graham Norton,
3223,Robert Downey Jr.,
16828,Chris Evans,
1189929,Condoleezza Rice,
7904,Billy Crystal,
533195,Henry Kissinger,
143280,Norman Mailer,
2801284,Anthony Amsterdam,
1220601,John Chancellor,
1066763,Darrell Royal,
50707,Ed Marinaro,
1322033,Bob Brenly,
1322034,Scott Brosius,
1233313,Joe Buck,
3273875,Bob Taylor,
3622690,Betty Ong,
3622691,Nydia Gonzalez,
3492377,Madeleine Albright,
3492379,Ilie Alexandru,
3492380,Ioan Amarie,
1442410,Trevor Phillips,
1442411,Nigel Farage,
1225259,Kirsty Young,
174981,King Charles III of the United Kingdom,
1094687,Prince Edward Duke of Edinburgh,
1306064,Princess Diana of Wales,
558240,Queen Elizabeth II of the United Kingdom,
47,Björk,
3219627,Lydia Korniordou,
2921077,Jacques Rogge,
37759,Kathy Burke,
20056,Keith Allen,
2330903,Amir Amor,
3897137,Cool 'Disco' Dan,
9290,Henry Rollins,
15535,Robin Harris,
5726,Cedric the Entertainer,
68215,Reginald Hudlin,
181975,Mark Curry,
82587,Steve Harvey,
78029,Martin Lawrence,
9309,Richard Pryor,
57551,Mario Cantone,
18291,Larenz Tate,
1633946,Chris Gattling,
10814,Wesley Snipes,
1903010,Spence Moore II,
55638,Kevin Hart,
5916,Rosario Dawson,
9206,Neve Campbell,
36811,Nick Cannon,
1870421,Collie Buddz,
2412016,Lilly Bartlam,
186529,Tony Daniels,
88059,Tommy Davidson,
15411,T.K. Carter,
1428,Mick Jagger,
1429,Charlie Watts,
53396,Ron Wood,
8534,Kathy Bates,
1121,Benicio del Toro,
3392,Michael Douglas,
17051,James Franco,
59315,Olivia Wilde,
2838,Chloë Sevigny,
155488,Kelly Clarkson,
292445,Blake Shelton,
21986,Reba McEntire,
2387,Patrick Stewart,
2388,Jonathan Frakes,
1213786,Brent Spiner,
4756,Matthew Broderick,
15152,James Earl Jones,
16940,Jeremy Irons,
148120,Tiffany,
83170,Valerie Harper,
2774840,Luis Miranda,
1179651,Lin-Manuel Miranda,
216674,Hillary Clinton,
73641,Christiane Amanpour,
1202593,Neil Barnard,
33684,Bono,
1650331,Jeremy O. Harris,
350,Laura Linney,
2391,Michael Dorn,
172069,Chadwick Boseman,
1215522,Robin Roberts,
1896,Don Cheadle,
6240,Mariska Hargitay,
21411,Ice-T,
206637,Kelli Giddish,
120608,Sonia Manzano,
1596910,Nitya Vidyasagar,
934281,Alex Wolff,
1700685,Lewis Pullman,
1241339,Bo Mitchell,
14386,Beyoncé,
1214573,Serena Williams,
93527,Kelly Rowland,
167662,Ryan Seacrest,
2384929,Lindsay Arnold,
138986,Tony Bennett,
72208,Alicia Keys,
3284,Bruce Springsteen,
18746,Stevie Wonder,
37934,André 3000,
15310,Anthony Kiedis,
12207,Kylie Minogue,
1564846,Auli'i Cravalho,
1473281,James Monroe Iglehart,
2522829,Vanessa Laine Bryant,
23678,Michael Jordan,
35806,Shaquille O'Neal,
1212304,Jon Scieszka,
1192274,Jordan Fisher,
132354,Kate Micucci,
133451,Aya Cash,
111684,Lennon Parham,
60227,Greg Cipes,
1249820,Romi Dames,
8536,Victor Garber,
1178795,Ben Diskin,
1842039,Joe Tessitore,
71403,Rob Riggle,
129193,Paula Abdul,
75394,Terence Donovan,
1083951,Veronica Lang,
